name,provincia_provincia_id,deparamento_id
HURLINGHAM,1,1
COLON,1,2
BENITO JUAREZ,1,3
OLAVARRIA,1,4
ALMIRANTE BROWN,1,5
JOSE C PAZ,1,6
ROJAS,1,7
SUIPACHA,1,8
LOBERIA,1,9
GENERAL VILLEGAS,1,10
ESTEBAN ECHEVERRIA,1,11
MONTE,1,12
BALCARCE,1,13
PRESIDENTE PERON,1,14
CARMEN DE ARECO,1,15
GUAMINI,1,16
GENERAL PUEYRREDON,1,17
PILAR,1,18
GENERAL PINTO,1,19
VICENTE LOPEZ,1,20
GENERAL JUAN MADARIAGA,1,21
SALADILLO,1,22
VILLARINO,1,23
GENERAL GUIDO,1,24
SAN ISIDRO,1,25
TIGRE,1,26
CASTELLI,1,27
SAN CAYETANO,1,28
PINAMAR,1,29
TRENQUE LAUQUEN,1,30
CORONEL DORREGO,1,31
ENSENADA,1,32
ALBERTI,1,33
LOMAS DE ZAMORA,1,34
CAMPANA,1,35
GENERAL ALVARADO,1,36
EZEIZA,1,37
SAN MIGUEL,1,38
SAAVEDRA,1,39
ADOLFO GONZALES CHAVES,1,40
TRES DE FEBRERO,1,41
SAN ANDRES DE GILES,1,42
SALLIQUELO,1,43
BRANDSEN,1,44
MONTE HERMOSO,1,45
TRES LOMAS,1,46
MERLO,1,47
QUILMES,1,48
BERAZATEGUI,1,49
BRAGADO,1,50
MAGDALENA,1,51
HIPOLITO YRIGOYEN,1,52
PATAGONES,1,53
LANÚS,1,54
CHASCOMUS,1,55
MERCEDES,1,56
CAPITAN SARMIENTO,1,57
RAMALLO,1,58
PILA,1,59
LAS FLORES,1,60
NECOCHEA,1,61
GENERAL RODRIGUEZ,1,62
AZUL,1,63
CAÑUELAS,1,64
CARLOS CASARES,1,65
SAN NICOLAS,1,66
MALVINAS ARGENTINAS,1,67
PEHUAJO,1,68
SAN VICENTE,1,69
PERGAMINO,1,70
CORONEL DE MARINA L ROSALES,1,71
LINCOLN,1,72
LEZAMA,1,73
MORON,1,74
ESCOBAR,1,75
BERISSO,1,76
BOLIVAR,1,77
EXALTACIÓN DE LA CRUZ,1,78
TORNQUIST,1,79
ZARATE,1,80
LEANDRO N ALEM,1,81
LUJAN,1,82
LA COSTA,1,83
RAUCH,1,84
CHIVILCOY,1,85
BARADERO,1,86
MARCOS PAZ,1,87
LOBOS,1,88
BAHÍA BLANCA,1,89
GENERAL LAVALLE,1,90
DAIREAUX,1,91
CARLOS TEJEDOR,1,92
LA MATANZA,1,93
ARRECIFES,1,94
LAPRIDA,1,95
TAPALQUE,1,96
PUAN,1,97
DOLORES,1,98
GENERAL ARENALES,1,99
GENERAL LAS HERAS,1,100
GENERAL VIAMONTE,1,101
SAN ANTONIO DE ARECO,1,102
SALTO,1,103
NAVARRO,1,104
LA PLATA,1,105
PUNTA INDIO,1,106
TRES ARROYOS,1,107
GENERAL LA MADRID,1,108
CORONEL SUAREZ,1,109
VILLA GESELL,1,110
TANDIL,1,111
FLORENCIO VARELA,1,112
MAR CHIQUITA,1,113
TORDILLO,1,114
ROQUE PEREZ,1,115
FRAY MAMERTO ESQUIU,2,116
BELEN,2,117
AMBATO,2,118
SANTA MARIA,2,119
POMAN,2,120
EL ALTO,2,121
ANDALGALÁ,2,122
CAPAYAN,2,123
VALLE VIEJO,2,124
ANCASTI,2,125
PACLIN,2,126
TINOGASTA,2,127
ANTOFAGASTA DE LA SIERRA,2,128
GENERAL DONOVAN,3,129
12 DE OCTUBRE,3,130
GENERAL BELGRANO,3,131
MAYOR LUIS J FONTANA,3,132
GENERAL GUEMES,3,133
SARGENTO CABRAL,3,134
SAN FERNANDO,3,135
LIBERTAD,3,136
O HIGGINS,3,137
PRESIDENCIA DE LA PLAZA,3,138
1° DE MAYO,3,139
INDEPENDENCIA,3,140
2 DE ABRIL,3,141
MAIPU,3,142
TAPENAGA,3,143
COMANDANTE FERNANDEZ,3,144
FRAY JUSTO SANTA MARÍA DE ORO,3,145
QUITILIPI,3,146
LANGUIÑEO,4,147
RIO SENGUER,4,148
GAIMAN,4,149
CUSHAMEN,4,150
FUTALEUFU,4,151
BIEDMA,4,152
TEHUELCHES,4,153
ESCALANTE,4,154
RAWSON,4,155
FLORENTINO AMEGHINO,4,156
TELSEN,4,157
PASO DE INDIOS,4,158
MARTIRES,4,159
GASTRE,4,160
COMUNA 9,5,161
COMUNA 6,5,162
COMUNA 3,5,163
COMUNA 7,5,164
COMUNA 12,5,165
COMUNA 11,5,166
COMUNA 14,5,167
COMUNA 10,5,168
COMUNA 13,5,169
COMUNA 2,5,170
COMUNA 5,5,171
COMUNA 15,5,172
COMUNA 1,5,173
COMUNA 8,5,174
COMUNA 4,5,175
ISCHILIN,6,176
MINAS,6,177
UNION,6,178
CALAMUCHITA,6,179
RIO SECO,6,180
POCHO,6,181
GENERAL SAN MARTIN,6,182
MARCOS JUAREZ,6,183
SANTA MARÍA,6,184
RIO PRIMERO,6,185
PUNILLA,6,186
RIO SEGUNDO,6,187
GENERAL ROCA,6,188
TOTORAL,6,189
TERCERO ARRIBA,6,190
JUAREZ CELMAN,6,191
SAN ALBERTO,6,192
RIO CUARTO,6,193
CRUZ DEL EJE,6,194
SOBREMONTE,6,195
TULUMBA,6,196
PRESIDENTE ROQUE SAENZ PEÑA,6,197
LAVALLE,7,198
EMPEDRADO,7,199
GOYA,7,200
SALADAS,7,201
BELLA VISTA,7,202
ITUZAINGO,7,203
SAN ROQUE,7,204
CURUZU CUATIA,7,205
SAN LUIS DEL PALMAR,7,206
GENERAL ALVEAR,7,207
SAN COSME,7,208
CONCEPCION,7,209
GENERAL PAZ,7,210
MONTE CASEROS,7,211
ITATI,7,212
PASO DE LOS LIBRES,7,213
ESQUINA,7,214
SANTO TOME,7,215
BERON DE ASTRADA,7,216
MBURUCUYA,7,217
SAUCE,7,218
FEDERACION,8,219
GUALEGUAY,8,220
LA PAZ,8,221
FEDERAL,8,222
GUALEGUAYCHU,8,223
