Nombre,Municipio,Departamento,Provincia
LA ESCONDIDA,LA ESCONDIDA,GENERAL DONOVAN,CHACO
KILOMETRO 548,LA ESCONDIDA,GENERAL DONOVAN,CHACO
COLONIA EL CACIQUE LLORON,LA ESCONDIDA,GENERAL DONOVAN,CHACO
LEGUA 41,LA ESCONDIDA,GENERAL DONOVAN,CHACO
LAS CHACRAS,QUILINO,ISCHILIN,CÓRDOBA
LOS CADILLOS,QUILINO,ISCHILIN,CÓRDOBA
VILLA QUILINO,QUILINO,ISCHILIN,CÓRDOBA
QUILINO,QUILINO,ISCHILIN,CÓRDOBA
CARRENLEUFU,CARRENLEUFU,LANGUIÑEO,CHUBUT
LAGO BLANCO,LAGO BLANCO,RIO SENGUER,CHUBUT
VILLA SANTOS TESEI,HURLINGHAM,HURLINGHAM,BUENOS AIRES
HURLINGHAM,HURLINGHAM,HURLINGHAM,BUENOS AIRES
WILLIAM C. MORRIS,HURLINGHAM,HURLINGHAM,BUENOS AIRES
ORATORIO MORANTE,GODOY,CONSTITUCION,SANTA FE
GODOY,GODOY,CONSTITUCION,SANTA FE
CAMPO LA VICTORIA,GODOY,CONSTITUCION,SANTA FE
VILLA MERCEDES,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
LA RIVERA,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
DIQUE VULPIANI,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
LA RIBERA,VILLA MERCEDES,GENERAL PEDERNERA,SAN LUIS
SAN FRANCISCO DE ALFARCITO,BARRANCAS,COCHINOCA,JUJUY
SANTA ANA DE LA PUNA,BARRANCAS,COCHINOCA,JUJUY
TUSAQUILLAS,BARRANCAS,COCHINOCA,JUJUY
SANTA ANA,BARRANCAS,COCHINOCA,JUJUY
TRANCAS,BARRANCAS,COCHINOCA,JUJUY
RINCONADILLAS,BARRANCAS,COCHINOCA,JUJUY
SALADO,BARRANCAS,COCHINOCA,JUJUY
ABDON CASTRO TOLAY,BARRANCAS,COCHINOCA,JUJUY
SANTUARIO DE TRES POZOS,BARRANCAS,COCHINOCA,JUJUY
TOLARITO,BARRANCAS,COCHINOCA,JUJUY
28 DE JULIO,28 DE JULIO,GAIMAN,CHUBUT
NAUPA HUEN,NAUPA HUEN,EL CUY,RÍO NEGRO
CHILCA JULIANA,CHILCA JULIANA,SALAVINA,SANTIAGO DEL ESTERO
EL MANZANO,MALARGUE,MALARGUE,MENDOZA
LAS CHACRAS,MALARGUE,MALARGUE,MENDOZA
MALARGUE,MALARGUE,MALARGUE,MENDOZA
LA JUNTA,MALARGUE,MALARGUE,MENDOZA
LUANCO,MALARGUE,MALARGUE,MENDOZA
LAS LEÑAS,MALARGUE,MALARGUE,MENDOZA
EL CHACAY,MALARGUE,MALARGUE,MENDOZA
AGUA ESCONDIDA,MALARGUE,MALARGUE,MENDOZA
MINACAR,MALARGUE,MALARGUE,MENDOZA
EL INFIERNILLO,MALARGUE,MALARGUE,MENDOZA
LOS CARRIZALES,MALARGUE,MALARGUE,MENDOZA
EL VATRO,MALARGUE,MALARGUE,MENDOZA
RINCON CHICO,MALARGUE,MALARGUE,MENDOZA
LA SALINILLA,MALARGUE,MALARGUE,MENDOZA
EL ALAMBRADO,MALARGUE,MALARGUE,MENDOZA
CALMUCO,MALARGUE,MALARGUE,MENDOZA
LLANO BLANCO,MALARGUE,MALARGUE,MENDOZA
PATA MORA,MALARGUE,MALARGUE,MENDOZA
RIO GRANDE,MALARGUE,MALARGUE,MENDOZA
LOS CORRALES,MALARGUE,MALARGUE,MENDOZA
EL CARAPACHO,MALARGUE,MALARGUE,MENDOZA
LA VALENCIANA,MALARGUE,MALARGUE,MENDOZA
LOS MOLLES,MALARGUE,MALARGUE,MENDOZA
MOGOTES ASPEROS,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
OJO DE AGUA,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
ESTANCIA DE GUADALUPE,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
SAN FELIPE,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
TRES LOMAS,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
LA ARGENTINA,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
CORREA,CORREA,IRIONDO,SANTA FE
BERRETTA,CORREA,IRIONDO,SANTA FE
ESTACION BERRETA,CORREA,IRIONDO,SANTA FE
EL CHALTEN,EL CHALTEN,LAGO ARGENTINO,SANTA CRUZ
EL ARBOLITO,COLON,COLON,BUENOS AIRES
LOS BARRILES,COLON,COLON,BUENOS AIRES
COLONIA LA PERLA,COLON,COLON,BUENOS AIRES
SARASA,COLON,COLON,BUENOS AIRES
PEARSON,COLON,COLON,BUENOS AIRES
COLON,COLON,COLON,BUENOS AIRES
KILOMETRO 404,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
VILLA CACIQUE,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
EL SAUCE,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
BARKER,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
BENITO JUAREZ,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
CORONEL RODOLFO BUNGE,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LOPEZ,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
SAN ANTONIO,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
EL LUCHADOR,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LA TINTA,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
TEDIN URIBURU,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
LOS CONQUISTADORES,LOS CONQUISTADORES,FEDERACION,ENTRE RÍOS
GANCEDO,GANCEDO,12 DE OCTUBRE,CHACO
LA BOLSA,GANCEDO,12 DE OCTUBRE,CHACO
LABORDE,LABORDE,UNION,CÓRDOBA
GENERAL GALARZA,GENERAL GALARZA,GUALEGUAY,ENTRE RÍOS
MOJOTORO,LA CALDERA,LA CALDERA,SALTA
ISLAS DE VAQUEROS,LA CALDERA,LA CALDERA,SALTA
SANTA GERTRUDIS,LA CALDERA,LA CALDERA,SALTA
LA CALDERILLA,LA CALDERA,LA CALDERA,SALTA
LOS SAUCES,LA CALDERA,LA CALDERA,SALTA
LOS PORONGOS,LA CALDERA,LA CALDERA,SALTA
LA CALDERA,LA CALDERA,LA CALDERA,SALTA
EL GALLINATO,LA CALDERA,LA CALDERA,SALTA
CAMPO ALEGRE,LA CALDERA,LA CALDERA,SALTA
LA FALDA DE SAN ANTONIO,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
EL HUECO,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
LA TERCENA,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
LA CARRERA,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
POMANCILLO,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
VILLA LAS PIRQUITAS,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
COLLAGASTA,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
SAN JOSE,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
POMANCILLO OESTE,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
POMANCILLO ESTE,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
SAN ANTONIO,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
CRUCE MUÑOZ,OLAVARRIA,OLAVARRIA,BUENOS AIRES
VILLA ALFREDO FORTABAT,OLAVARRIA,OLAVARRIA,BUENOS AIRES
