name,departamento,departamento_deparamento_id,muncipio_id
1° DE MAYO,URUGUAY,231,1605
25 DE MAYO,25 DE MAYO,332,1606
28 DE JULIO,GAIMAN,149,1607
28 DE NOVIEMBRE,GUER AIKE,384,1608
3 DE ABRIL,BELLA VISTA,202,1609
7 DE ABRIL,BURRUYACU,443,1610
9 DE JULIO,SAN ROQUE,204,1611
AARON CASTELLANOS,GENERAL LOPEZ,395,1612
ABRA GRANDE,BANDA,412,1613
ABRA PAMPA,COCHINOCA,244,1614
ABRALAITE,COCHINOCA,244,1615
ABRAMO,HUCAL,268,1616
ACEBAL,ROSARIO,392,1617
ACHERAL,MONTEROS,439,1618
ACHIRAS,RIO CUARTO,193,1619
ACONQUIJA,ANDALGALÁ,122,1620
ACOS - POZO DEL ARBOLITO,RIO HONDO,426,1621
ADELIA MARIA,RIO CUARTO,193,1622
ADOLFO ALSINA,ADOLFO ALSINA,335,1623
ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES,40,1624
ADOLFO VAN PRAET,REALICO,260,1625
AGUA DE ORO,COLON,2,1626
AGUA DULCE Y LA SOLEDAD,LEALES,441,1627
AGUADA CECILIO,VALCHETA,333,1628
AGUADA DE GUERRA,25 DE MAYO,332,1629
AGUADA GUZMAN,EL CUY,331,1630
AGUADA SAN ROQUE,AÑELO,323,1631
AGUARA GRANDE,SAN CRISTOBAL,393,1632
AGUARAY,GENERAL JOSE DE SAN MARTÍN,348,1633
AGUAS BLANCAS,ORAN,346,1634
AGUAS CALIENTES,EL CARMEN,248,1635
AGUILARES,RIO CHICO,444,1636
AGUSTONI,MARACO,270,1637
AHI VEREMOS,COPO,414,1638
ALBA POSSE,25 DE MAYO,332,1639
ALBARDON,ALBARDON,371,1640
ALBARDON - PUNTA DEL MONTE,GUALEGUAY,220,1641
ALBARELLOS,ROSARIO,392,1642
ALBERTI,ALBERTI,33,1643
ALCARAZ,LA PAZ,221,1644
ALCARAZ NORTE,LA PAZ,221,1645
ALCARAZ SUR,LA PAZ,221,1646
ALCIRA,RIO CUARTO,193,1647
ALCORTA,CONSTITUCION,388,1648
ALDAO,SAN LORENZO,406,1649
ALDEA APELEG,RIO SENGUER,148,1650
ALDEA ASUNCION,GUALEGUAY,220,1651
ALDEA BELEIRO,RIO SENGUER,148,1652
ALDEA BRASILERA,DIAMANTE,224,1653
ALDEA EIGENFELD,PARANA,229,1654
ALDEA EPULEF,LANGUIÑEO,147,1655
ALDEA GRAPSCHENTAL,DIAMANTE,224,1656
ALDEA MARIA LUISA,PARANA,229,1657
ALDEA PROTESTANTE,DIAMANTE,224,1658
ALDEA SALTO,DIAMANTE,224,1659
ALDEA SAN ANTONIO,PARANA,229,1660
ALDEA SAN JUAN,GUALEGUAYCHU,223,1661
ALDEA SAN MIGUEL,NOGOYA,228,1662
ALDEA SAN RAFAEL,PARANA,229,1663
